participante,item,pronome,referencia,tempo.adverbio
2f,i_1,p,ind,712
2f,i_38,p,ind,765
3f,i_13,s,ind,1085
3f,i_38,p,ind,1200
3f,i_5,s,cor,1305
3f,i_32,p,ind,723
3f,i_11,s,ind,801
3f,i_6,s,ind,875
3f,i_26,s,ind,1157
3f,i_37,s,cor,997
3f,i_34,p,cor,816
3f,i_33,p,cor,811
3f,i_35,p,ind,1043
3f,i_30,p,ind,733
3f,i_2,s,cor,690
3f,i_1,p,ind,1473
3f,i_28,p,cor,914
3f,i_4,s,cor,776
3f,i_16,s,ind,567
3f,i_29,p,cor,674
3f,i_39,p,cor,603
3f,i_7,s,ind,819
3f,i_27,p,cor,425
3f,i_31,s,cor,702
3f,i_10,p,ind,529
3f,i_19,s,cor,436
3f,i_36,p,cor,488
3f,i_22,s,ind,870
3f,i_12,s,cor,517
3f,i_25,p,ind,669
4f,i_11,s,ind,1056
4f,i_37,s,cor,680
4f,i_7,s,ind,552
4f,i_33,p,cor,520
4f,i_1,p,ind,561
4f,i_32,p,ind,714
4f,i_29,p,cor,467
4f,i_27,p,cor,1016
4f,i_36,p,cor,449
4f,i_16,s,ind,655
4f,i_26,s,ind,480
4f,i_12,s,cor,470
4f,i_22,s,ind,496
4f,i_28,p,cor,415
4f,i_5,s,cor,432
4f,i_13,s,ind,865
4f,i_34,p,cor,466
4f,i_10,p,ind,428
4f,i_2,s,cor,404
4f,i_6,s,ind,388
4f,i_4,s,cor,419
4f,i_19,s,cor,476
4f,i_35,p,ind,526
4f,i_39,p,cor,406
4f,i_38,p,ind,410
4f,i_30,p,ind,423
4f,i_25,p,ind,358
4f,i_31,s,cor,1286
5f,i_19,s,cor,566
5f,i_37,s,cor,862
5f,i_5,s,cor,895
5f,i_35,p,ind,501
5f,i_29,p,cor,1067
5f,i_26,s,ind,1079
5f,i_12,s,cor,487
5f,i_10,p,ind,589
5f,i_2,s,cor,568
5f,i_6,s,ind,686
5f,i_30,p,ind,909
5f,i_34,p,cor,567
5f,i_33,p,cor,474
5f,i_39,p,cor,1114
5f,i_32,p,ind,659
5f,i_36,p,cor,641
5f,i_16,s,ind,763
5f,i_22,s,ind,640
5f,i_38,p,ind,404
5f,i_31,s,cor,629
5f,i_25,p,ind,580
5f,i_4,s,cor,814
5f,i_13,s,ind,877
5f,i_27,p,cor,845
5f,i_28,p,cor,707
5f,i_11,s,ind,457
5f,i_1,p,ind,1486
5f,i_7,s,ind,626
6f,i_10,p,ind,490
6f,i_12,s,cor,484
6f,i_7,s,ind,401
6f,i_19,s,cor,643
6f,i_35,p,ind,513
6f,i_31,s,cor,392
6f,i_26,s,ind,793
6f,i_27,p,cor,691
6f,i_13,s,ind,698
6f,i_29,p,cor,372
6f,i_33,p,cor,770
6f,i_30,p,ind,895
6f,i_32,p,ind,472
6f,i_2,s,cor,1549
6f,i_22,s,ind,486
6f,i_5,s,cor,403
6f,i_39,p,cor,351
6f,i_1,p,ind,617
6f,i_28,p,cor,365
6f,i_38,p,ind,619
6f,i_4,s,cor,408
6f,i_16,s,ind,528
6f,i_37,s,cor,267
6f,i_6,s,ind,737
6f,i_34,p,cor,911
6f,i_36,p,cor,333
6f,i_11,s,ind,432
6f,i_25,p,ind,780
7f,i_19,s,cor,702
7f,i_27,p,cor,797
7f,i_39,p,cor,757
7f,i_29,p,cor,884
7f,i_31,s,cor,652
7f,i_4,s,cor,700
7f,i_26,s,ind,605
7f,i_6,s,ind,494
7f,i_10,p,ind,801
7f,i_38,p,ind,598
7f,i_13,s,ind,731
7f,i_2,s,cor,633
7f,i_30,p,ind,472
7f,i_32,p,ind,425
7f,i_1,p,ind,517
7f,i_25,p,ind,1990
7f,i_36,p,cor,512
7f,i_7,s,ind,689
7f,i_34,p,cor,430
7f,i_12,s,cor,418
7f,i_11,s,ind,486
7f,i_5,s,cor,851
7f,i_35,p,ind,470
7f,i_37,s,cor,523
7f,i_16,s,ind,607
7f,i_22,s,ind,1528
7f,i_33,p,cor,621
7f,i_28,p,cor,480
8f,i_36,p,cor,907
8f,i_12,s,cor,1001
8f,i_11,s,ind,806
8f,i_30,p,ind,669
8f,i_7,s,ind,710
8f,i_1,p,ind,651
8f,i_27,p,cor,541
8f,i_37,s,cor,551
8f,i_26,s,ind,714
8f,i_2,s,cor,671
8f,i_22,s,ind,655
8f,i_32,p,ind,800
8f,i_6,s,ind,564
8f,i_28,p,cor,564
8f,i_31,s,cor,491
8f,i_35,p,ind,465
8f,i_19,s,cor,459
8f,i_5,s,cor,494
8f,i_25,p,ind,503
8f,i_34,p,cor,465
8f,i_10,p,ind,783
8f,i_4,s,cor,433
8f,i_29,p,cor,544
8f,i_13,s,ind,517
8f,i_16,s,ind,499
8f,i_38,p,ind,479
8f,i_33,p,cor,437
8f,i_39,p,cor,484
